Energy (eV),Derivative of intensity (a.u.)
18.33504624871531,0.5597269624573379
18.41726618705036,0.5574516496018203
18.499486125385406,0.5574516496018203
18.581706063720453,0.5563139931740614
18.663926002055497,0.5551763367463026
18.746145940390544,0.5540386803185438
18.82836587872559,0.552901023890785
18.910585817060635,0.5517633674630261
18.992805755395683,0.5517633674630261
19.07502569373073,0.5483503981797497
19.157245632065777,0.5494880546075085
19.23946557040082,0.534698521046644
19.321685508735868,0.534698521046644
19.403905447070915,0.5187713310580204
19.48612538540596,0.5187713310580204
19.568345323741006,0.5039817974971559
19.650565262076054,0.5073947667804323
19.7327852004111,0.48805460750853236
19.815005138746145,0.48805460750853236
19.897225077081192,0.4744027303754266
19.97944501541624,0.4744027303754266
20.061664953751283,0.44937428896473264
20.14388489208633,0.44937428896473264
20.226104830421377,0.434584755403868
20.308324768756425,0.434584755403868
20.39054470709147,0.4311717861205916
20.472764645426516,0.4152445961319682
20.554984583761563,0.41638225255972694
20.637204522096606,0.4004550625711035
20.719424460431654,0.4004550625711035
20.8016443987667,0.3845278725824801
20.88386433710175,0.3845278725824801
20.966084275436792,0.37087599544937433
21.04830421377184,0.35722411831626855
21.130524152106887,0.35722411831626855
21.21274409044193,0.35722411831626855
21.294964028776977,0.3447098976109215
21.377183967112025,0.3447098976109215
21.459403905447072,0.33105802047781574
21.541623843782116,0.33105802047781574
21.623843782117163,0.31399317406143346
21.70606372045221,0.31399317406143346
21.788283658787254,0.29692832764505117
21.8705035971223,0.29692832764505117
21.95272353545735,0.28441410693970415
22.034943473792396,0.28441410693970415
22.11716341212744,0.267349260523322
22.199383350462487,0.267349260523322
22.281603288797534,0.25142207053469856
22.363823227132578,0.25142207053469856
22.446043165467625,0.2366325369738339
22.528263103802672,0.2366325369738339
22.61048304213772,0.22184300341296925
22.692702980472763,0.22184300341296925
22.77492291880781,0.22184300341296925
22.857142857142858,0.20591581342434584
22.9393627954779,0.18998862343572243
23.02158273381295,0.18998862343572243
23.103802672147996,0.1808873720136519
23.186022610483043,0.1808873720136519
23.268242548818087,0.1808873720136519
23.350462487153134,0.1706484641638225
23.43268242548818,0.16951080773606364
23.514902363823225,0.161547212741752
23.597122302158272,0.161547212741752
23.67934224049332,0.1547212741751991
23.761562178828367,0.1547212741751991
23.84378211716341,0.1513083048919226
23.926002055498458,0.1513083048919226
24.008221993833505,0.14562002275312858
24.09044193216855,0.14562002275312858
24.172661870503596,0.14106939704209331
24.254881808838643,0.13993174061433444
24.33710174717369,0.13651877133105805
24.419321685508734,0.13651877133105805
24.50154162384378,0.13310580204778155
24.58376156217883,0.1319681456200228
24.665981500513873,0.1285551763367463
24.74820143884892,0.12741751990898753
24.830421377183967,0.12286689419795227
24.912641315519014,0.12286689419795227
24.994861253854058,0.11604095563139927
25.077081192189105,0.11604095563139927
25.159301130524153,0.10693970420932875
25.241521068859196,0.10693970420932875
25.323741007194243,0.10693970420932875
25.40596094552929,0.09670079635949946
25.488180883864338,0.09670079635949946
25.57040082219938,0.08077360637087594
25.65262076053443,0.08077360637087594
25.734840698869476,0.07281001137656429
25.81706063720452,0.07281001137656429
25.899280575539567,0.06484641638225253
25.981500513874614,0.06484641638225253
26.06372045220966,0.056882821387940874
26.145940390544705,0.056882821387940874
26.228160328879753,0.05119453924914674
26.3103802672148,0.05005688282138798
26.392600205549844,0.04664391353811148
26.47482014388489,0.04550625711035272
26.557040082219938,0.04436860068259385
26.639260020554985,0.04209328782707622
26.72147995889003,0.03981797497155859
26.803699897225076,0.03981797497155859
26.885919835560124,0.03868031854379983
26.968139773895167,0.03868031854379983
27.050359712230215,0.03754266211604096
27.132579650565262,0.03640500568828209
27.21479958890031,0.03640500568828209
27.297019527235353,0.03526734926052333
27.3792394655704,0.03526734926052333
27.461459403905447,0.03412969283276446
27.54367934224049,0.03412969283276446
27.62589928057554,0.0329920364050057
27.708119218910586,0.03185437997724683
27.790339157245633,0.030716723549488067
27.872559095580677,0.030716723549488067
27.954779033915724,0.029579067121729197
28.03699897225077,0.029579067121729197
28.119218910585815,0.028441410693970437
28.201438848920862,0.027303754266211566
28.28365878725591,0.026166097838452806
28.365878725590957,0.025028441410693936
28.448098663926,0.022753128555176305
28.530318602261048,0.022753128555176305
28.612538540596095,0.022753128555176305
28.69475847893114,0.022753128555176305
28.776978417266186,0.026166097838452806
28.859198355601233,0.027303754266211566
28.94141829393628,0.028441410693970437
29.023638232271324,0.029579067121729197
29.10585817060637,0.03526734926052333
29.18807810894142,0.03640500568828209
29.270298047276462,0.04436860068259385
29.35251798561151,0.04550625711035272
29.434737923946557,0.04550625711035272
29.516957862281604,0.05233219567690561
29.599177800616648,0.05346985210466437
29.681397738951695,0.058020477815699634
29.763617677286742,0.058020477815699634
29.845837615621786,0.06484641638225253
