Energy (eV),Intensity (a.u.)
20.102564102564102,258.0
20.184615384615384,258.0
20.266666666666666,258.0
20.348717948717947,258.0
20.43076923076923,258.0
20.512820512820515,259.0
20.594871794871796,259.0
20.676923076923078,260.0
20.75897435897436,260.0
20.84102564102564,261.0
20.923076923076923,261.0
21.005128205128205,262.0
21.087179487179487,262.0
21.16923076923077,262.0
21.25128205128205,262.0
21.333333333333332,262.0
21.415384615384614,263.0
21.497435897435896,263.0
21.57948717948718,263.0
21.661538461538463,262.0
21.743589743589745,262.0
21.825641025641026,262.0
21.907692307692308,261.0
21.98974358974359,259.0
22.07179487179487,250.0
22.153846153846153,250.0
22.235897435897435,250.0
22.317948717948717,241.0
22.4,240.0
22.48205128205128,231.0
22.564102564102566,231.0
22.646153846153847,224.0
22.72820512820513,224.0
22.81025641025641,216.0
22.892307692307693,216.0
22.974358974358974,210.0
23.056410256410256,210.0
23.138461538461538,204.0
23.22051282051282,204.0
23.3025641025641,199.0
23.384615384615383,199.0
23.466666666666665,193.0
23.54871794871795,192.0
23.630769230769232,192.0
23.712820512820514,189.0
23.794871794871796,189.0
23.876923076923077,189.0
23.95897435897436,189.0
24.04102564102564,189.0
24.123076923076923,188.0
24.205128205128204,188.0
24.287179487179486,188.0
24.369230769230768,188.0
24.45128205128205,188.0
24.533333333333335,188.0
24.615384615384617,188.0
24.6974358974359,188.0
24.77948717948718,188.0
24.861538461538462,188.0
24.943589743589744,188.0
25.025641025641026,188.0
25.107692307692307,188.0
25.18974358974359,187.0
25.27179487179487,187.0
25.353846153846153,185.0
25.435897435897434,185.0
25.51794871794872,182.0
25.6,181.0
25.682051282051283,178.0
25.764102564102565,177.0
25.846153846153847,162.0
25.92820512820513,162.0
26.01025641025641,159.0
26.092307692307692,154.0
26.174358974358974,153.0
26.256410256410255,152.0
26.338461538461537,149.0
26.42051282051282,142.0
26.5025641025641,141.0
26.584615384615386,136.0
26.666666666666668,135.0
26.74871794871795,128.0
26.83076923076923,128.0
26.912820512820513,123.0
26.994871794871795,123.0
27.076923076923077,117.0
27.15897435897436,117.0
27.24102564102564,109.0
27.323076923076922,111.0
27.405128205128204,103.0
27.487179487179485,103.0
27.56923076923077,98.0
27.651282051282053,98.0
27.733333333333334,94.0
27.815384615384616,94.0
27.897435897435898,92.0
27.97948717948718,91.0
28.06153846153846,88.0
28.143589743589743,87.0
28.225641025641025,86.0
28.307692307692307,86.0
28.38974358974359,86.0
28.47179487179487,85.0
28.553846153846155,85.0
28.635897435897437,84.0
28.71794871794872,81.0
28.8,81.0
28.882051282051282,81.0
28.964102564102564,78.0
29.046153846153846,78.0
29.128205128205128,75.0
29.21025641025641,74.0
29.29230769230769,73.0
29.374358974358973,73.0
29.456410256410255,73.0
29.53846153846154,73.0
29.620512820512822,74.0
29.702564102564104,75.0
29.784615384615385,75.0
29.866666666666667,75.0
29.94871794871795,80.0
30.03076923076923,80.0
30.112820512820512,81.0
30.194871794871794,81.0
30.276923076923076,83.0
30.358974358974358,83.0
30.44102564102564,83.0
30.523076923076925,83.0
30.605128205128207,83.0
30.68717948717949,84.0
30.76923076923077,84.0
30.851282051282052,84.0
30.933333333333334,84.0
31.015384615384615,84.0
31.097435897435897,83.0
31.17948717948718,83.0
31.26153846153846,83.0
31.343589743589742,84.0
31.425641025641024,84.0
31.50769230769231,85.0
31.58974358974359,86.0
31.671794871794873,86.0
31.753846153846155,86.0
31.835897435897436,87.0
31.91794871794872,88.0
32.0,88.0
32.08205128205128,88.0
32.16410256410256,88.0
32.246153846153845,88.0
32.32820512820513,88.0
32.41025641025641,89.0
32.49230769230769,89.0
32.57435897435897,89.0
32.656410256410254,89.0
32.738461538461536,90.0
32.82051282051282,90.0
32.9025641025641,91.0
32.98461538461538,91.0
33.06666666666667,91.0
33.14871794871795,92.0
33.23076923076923,92.0
33.312820512820515,94.0
33.3948717948718,95.0
33.47692307692308,95.0
33.55897435897436,99.0
33.64102564102564,99.0
33.723076923076924,102.0
33.805128205128206,102.0
33.88717948717949,107.0
33.96923076923077,108.0
34.05128205128205,113.0
34.13333333333333,113.0
34.215384615384615,119.0
34.297435897435896,119.0
34.37948717948718,124.0
34.46153846153846,124.0
34.54358974358974,130.0
34.62564102564102,130.0
34.707692307692305,134.0
34.78974358974359,136.0
34.87179487179487,141.0
34.95384615384615,142.0
35.03589743589744,142.0
35.11794871794872,145.0
35.2,146.0
35.282051282051285,148.0
35.364102564102566,148.0
35.44615384615385,152.0
35.52820512820513,153.0
35.61025641025641,156.0
35.69230769230769,156.0
35.774358974358975,159.0
35.85641025641026,159.0
35.93846153846154,164.0
36.02051282051282,165.0
36.1025641025641,166.0
36.184615384615384,167.0
36.266666666666666,167.0
36.34871794871795,168.0
36.43076923076923,173.0
36.51282051282051,173.0
36.59487179487179,177.0
36.676923076923075,178.0
36.758974358974356,182.0
36.84102564102564,182.0
36.92307692307692,185.0
37.0051282051282,186.0
37.08717948717949,186.0
37.16923076923077,190.0
37.251282051282054,191.0
37.333333333333336,192.0
37.41538461538462,192.0
37.4974358974359,193.0
37.57948717948718,193.0
37.66153846153846,193.0
37.743589743589745,192.0
37.825641025641026,191.0
37.90769230769231,190.0
37.98974358974359,189.0
38.07179487179487,188.0
38.15384615384615,186.0
38.235897435897435,186.0
38.31794871794872,184.0
38.4,183.0
38.48205128205128,183.0
38.56410256410256,181.0
38.646153846153844,181.0
38.728205128205126,181.0
38.81025641025641,181.0
38.89230769230769,180.0
38.97435897435897,180.0
39.05641025641026,179.0
39.13846153846154,179.0
39.22051282051282,176.0
39.302564102564105,176.0
39.38461538461539,175.0
39.46666666666667,173.0
39.54871794871795,172.0
39.63076923076923,166.0
39.712820512820514,164.0
39.794871794871796,162.0
39.87692307692308,159.0
39.95897435897436,159.0
40.04102564102564,158.0
40.12307692307692,158.0
40.205128205128204,157.0
40.287179487179486,157.0
40.36923076923077,157.0
40.45128205128205,157.0
40.53333333333333,157.0
40.61538461538461,157.0
40.697435897435895,157.0
40.77948717948718,157.0
40.86153846153846,157.0
40.94358974358974,157.0
41.02564102564103,157.0
41.10769230769231,157.0
41.18974358974359,157.0
41.271794871794874,157.0
41.353846153846156,157.0
41.43589743589744,156.0
41.51794871794872,156.0
41.6,155.0
41.68205128205128,154.0
41.764102564102565,153.0
41.84615384615385,153.0
41.92820512820513,153.0
42.01025641025641,153.0
42.09230769230769,151.0
42.174358974358974,151.0
42.256410256410255,150.0
42.33846153846154,150.0
42.42051282051282,150.0
42.5025641025641,150.0
42.58461538461538,150.0
42.666666666666664,150.0
42.748717948717946,150.0
42.83076923076923,147.0
42.91282051282051,147.0
42.99487179487179,148.0
43.07692307692308,150.0
43.15897435897436,150.0
43.241025641025644,152.0
43.323076923076925,153.0
43.40512820512821,154.0
43.48717948717949,156.0
43.56923076923077,157.0
43.65128205128205,158.0
43.733333333333334,158.0
43.815384615384616,160.0
43.8974358974359,161.0
43.97948717948718,163.0
44.06153846153846,164.0
44.14358974358974,165.0
44.225641025641025,165.0
44.30769230769231,166.0
44.38974358974359,166.0
44.47179487179487,166.0
44.55384615384615,167.0
44.635897435897434,168.0
44.717948717948715,168.0
44.8,169.0
44.88205128205128,169.0
44.96410256410256,171.0
45.04615384615385,172.0
45.12820512820513,173.0
45.21025641025641,174.0
45.292307692307695,175.0
45.37435897435898,176.0
45.45641025641026,177.0
45.53846153846154,178.0
45.62051282051282,179.0
45.702564102564104,180.0
45.784615384615385,180.0
45.86666666666667,183.0
45.94871794871795,184.0
46.03076923076923,185.0
46.11282051282051,185.0
46.194871794871794,186.0
46.276923076923076,187.0
46.35897435897436,188.0
46.44102564102564,189.0
46.52307692307692,189.0
46.6051282051282,189.0
46.687179487179485,190.0
46.76923076923077,190.0
46.85128205128205,190.0
46.93333333333333,190.0
47.01538461538462,189.0
47.0974358974359,189.0
47.17948717948718,188.0
47.261538461538464,187.0
47.343589743589746,187.0
47.42564102564103,184.0
47.50769230769231,184.0
47.58974358974359,183.0
47.67179487179487,182.0
47.753846153846155,181.0
47.83589743589744,180.0
47.91794871794872,178.0
48.0,177.0
48.08205128205128,175.0
48.16410256410256,173.0
48.246153846153845,172.0
48.32820512820513,171.0
48.41025641025641,170.0
48.49230769230769,169.0
48.57435897435897,166.0
48.656410256410254,165.0
48.738461538461536,163.0
48.82051282051282,163.0
48.9025641025641,161.0
48.98461538461538,160.0
49.06666666666667,157.0
49.14871794871795,156.0
49.23076923076923,153.0
49.312820512820515,153.0
49.3948717948718,151.0
49.47692307692308,151.0
49.55897435897436,149.0
49.64102564102564,148.0
49.723076923076924,146.0
49.805128205128206,145.0
49.88717948717949,144.0
49.96923076923077,142.0
50.05128205128205,142.0
50.13333333333333,142.0
50.215384615384615,139.0
50.297435897435896,138.0
50.37948717948718,137.0
50.46153846153846,136.0
50.54358974358974,135.0
50.62564102564102,134.0
50.707692307692305,133.0
50.78974358974359,133.0
50.87179487179487,132.0
50.95384615384615,132.0
51.03589743589744,131.0
51.11794871794872,131.0
51.2,130.0
51.282051282051285,130.0
51.364102564102566,129.0
51.44615384615385,129.0
51.52820512820513,128.0
51.61025641025641,128.0
