Energy (eV),Intensity (a.u.)
3.282051282051282,102.0
3.364102564102564,102.0
3.4461538461538463,103.0
3.528205128205128,104.0
3.6102564102564103,104.0
3.6923076923076925,151.0
3.7743589743589743,151.0
3.8564102564102565,170.0
3.9384615384615387,170.0
4.02051282051282,523.0
4.102564102564102,517.0
4.184615384615385,701.0
4.266666666666667,701.0
4.348717948717948,700.0
4.430769230769231,699.0
4.512820512820513,699.0
4.5948717948717945,682.0
4.676923076923077,682.0
4.758974358974359,643.0
4.841025641025641,643.0
4.923076923076923,607.0
5.005128205128205,607.0
5.087179487179487,575.0
5.1692307692307695,575.0
5.251282051282051,528.0
5.333333333333333,551.0
5.415384615384616,469.0
5.4974358974358974,522.0
5.579487179487179,432.0
5.661538461538462,432.0
5.743589743589744,391.0
5.825641025641025,391.0
5.907692307692308,353.0
5.98974358974359,353.0
6.0717948717948715,320.0
6.153846153846154,320.0
6.235897435897436,294.0
6.317948717948718,294.0
6.4,298.0
6.482051282051282,258.0
6.564102564102564,232.0
6.6461538461538465,232.0
6.728205128205128,224.0
6.81025641025641,224.0
6.892307692307693,224.0
6.9743589743589745,221.0
7.056410256410256,221.0
7.138461538461539,220.0
7.220512820512821,220.0
7.302564102564102,222.0
7.384615384615385,222.0
7.466666666666667,227.0
7.5487179487179485,228.0
7.630769230769231,323.0
7.712820512820513,323.0
7.794871794871795,424.0
7.876923076923077,441.0
7.958974358974359,483.0
8.04102564102564,483.0
8.123076923076923,515.0
8.205128205128204,509.0
8.287179487179488,638.0
8.36923076923077,664.0
8.451282051282051,638.0
8.533333333333333,691.0
8.615384615384615,691.0
8.697435897435897,704.0
8.77948717948718,704.0
8.861538461538462,705.0
8.943589743589744,705.0
9.025641025641026,704.0
9.107692307692307,703.0
9.189743589743589,699.0
9.271794871794873,699.0
9.353846153846154,688.0
9.435897435897436,688.0
9.517948717948718,671.0
9.6,672.0
9.682051282051281,644.0
9.764102564102565,644.0
9.846153846153847,615.0
9.928205128205128,615.0
10.01025641025641,576.0
10.092307692307692,576.0
10.174358974358974,525.0
10.256410256410257,525.0
10.338461538461539,475.0
10.42051282051282,516.0
10.502564102564103,479.0
10.584615384615384,443.0
10.666666666666666,402.0
10.748717948717948,402.0
10.830769230769231,361.0
10.912820512820513,361.0
10.994871794871795,361.0
11.076923076923077,325.0
11.158974358974358,343.0
11.24102564102564,299.0
11.323076923076924,313.0
11.405128205128205,263.0
11.487179487179487,263.0
11.569230769230769,156.0
11.65128205128205,144.0
11.733333333333333,123.0
11.815384615384616,123.0
11.897435897435898,115.0
11.97948717948718,115.0
12.061538461538461,100.0
12.143589743589743,100.0
12.225641025641025,83.0
12.307692307692308,83.0
12.38974358974359,72.0
12.471794871794872,72.0
12.553846153846154,64.0
12.635897435897435,63.0
12.717948717948717,62.0
12.8,62.0
12.882051282051282,62.0
12.964102564102564,62.0
13.046153846153846,62.0
13.128205128205128,62.0
13.21025641025641,65.0
13.292307692307693,65.0
13.374358974358975,70.0
13.456410256410257,70.0
13.538461538461538,70.0
13.62051282051282,74.0
13.702564102564102,75.0
13.784615384615385,75.0
13.866666666666667,75.0
13.948717948717949,75.0
14.03076923076923,74.0
14.112820512820512,73.0
14.194871794871794,70.0
14.276923076923078,70.0
14.35897435897436,69.0
14.441025641025641,69.0
14.523076923076923,67.0
14.605128205128205,67.0
14.687179487179487,67.0
14.76923076923077,66.0
14.851282051282052,65.0
14.933333333333334,65.0
15.015384615384615,64.0
15.097435897435897,63.0
15.179487179487179,63.0
15.261538461538462,62.0
15.343589743589744,62.0
15.425641025641026,62.0
15.507692307692308,62.0
15.58974358974359,62.0
15.671794871794871,62.0
15.753846153846155,62.0
15.835897435897436,63.0
15.917948717948718,63.0
16.0,74.0
16.08205128205128,74.0
16.164102564102564,85.0
16.246153846153845,88.0
16.328205128205127,91.0
16.41025641025641,91.0
16.49230769230769,94.0
16.574358974358976,94.0
16.656410256410258,102.0
16.73846153846154,105.0
16.82051282051282,113.0
16.902564102564103,113.0
16.984615384615385,125.0
17.066666666666666,125.0
17.148717948717948,134.0
17.23076923076923,134.0
17.31282051282051,135.0
17.394871794871793,143.0
17.476923076923075,144.0
17.55897435897436,145.0
17.641025641025642,159.0
17.723076923076924,156.0
17.805128205128206,156.0
17.887179487179488,165.0
17.96923076923077,167.0
18.05128205128205,169.0
18.133333333333333,170.0
18.215384615384615,175.0
18.297435897435896,176.0
18.379487179487178,188.0
18.46153846153846,188.0
18.543589743589745,199.0
18.625641025641027,199.0
18.70769230769231,212.0
18.78974358974359,213.0
18.871794871794872,212.0
18.953846153846154,212.0
19.035897435897436,212.0
